Metric,Mean,StdDev
Accuracy,0.8244395792330094,0.005628993802142182
Precision,0.8079539630027636,0.008575777259909202
Recall,0.8513674148888049,0.0036664287893418313
F1-Score,0.8290636554326698,0.004675316873026335
