Fold,Accuracy,Precision,Recall,F1-Score
1,0.8161687170474516,0.7975521005623553,0.8474516695957821,0.821745057941377
2,0.8191246264721392,0.7978339350180506,0.8547819971870605,0.8253267696486165
3,0.8289681842151521,0.8176570458404074,0.8466947960618847,0.8319226118500604
4,0.828616628581473,0.8118745830553702,0.8555360281195079,0.8331336642135889
5,0.8293197398488311,0.8148521505376344,0.8523725834797891,0.8331901735097063
